ejm54~intermediate_H 0.54881
ejm45~intermediate_H 0.60653
ejm53~intermediate_H 0.60653
ejm44~intermediate_H 0.67032
ejm50~intermediate_H 0.67032
ejm52~intermediate_H 0.67032
ejm31~ejm50 0.74082
ejm51~intermediate_H 0.74082
ejm42~ejm49 0.81873
ejm42~ejm46 0.86071
ejm46~ejm47 0.86071
ejm31~ejm43 0.90484
ejm31~ejm55 0.90484
ejm31~intermediate_H 0.90484
ejm42~ejm48 0.90484
ejm48~ejm49 0.90484
ejm42~ejm43 0.95123
ejm42~ejm47 0.95123
ejm42~ejm55 0.95123
ejm44~ejm52 0.95123
ejm45~ejm53 0.95123
